CustomerID,Name,Email,Phone,Address
1,Elizabeth Cox,youngdustin@example.com,+1-572-616-8335x42186,"6853 Fowler Point
Lake Jorgeville, VA 88777"
2,James Rodriguez,marissa45@example.org,644.664.4861,"7679 Mcguire Squares Suite 711
Mccoyborough, MS 13423"
3,Taylor Johnson,johnsonbrian@example.net,2608697666,"0733 Mitchell Islands Apt. 504
Melissafurt, WV 94589"
4,Joanna Wright,hernandezcasey@example.com,2476863825,"1382 Jennifer Mountain Suite 878
West Susan, ND 04640"
5,Valerie Medina,jamesbenjamin@example.com,246.211.6958,"7173 Caleb Corners
Aaronfort, NJ 86565"
6,Melissa Lopez,theresa18@example.com,765.991.7140x3004,"96645 Melissa Lodge
East Rebeccaland, MH 21618"
7,Javier Myers,robin51@example.com,503.272.1485,"6146 Stevenson Shore Suite 838
Smithberg, ME 94897"
8,Karen Drake,galvankristina@example.net,7088051138,"3566 Tyler Centers Suite 126
Lake Ann, VT 44988"
9,Sarah Brennan,adelgado@example.net,001-512-454-0505x93395,"60705 Wallace Union Suite 981
Yatesburgh, MO 36070"
10,Bryce Dillon,karen76@example.net,410.987.7832,"073 Michael Overpass
Justinborough, NV 37431"
11,Edwin Weiss,patrick55@example.com,+1-319-669-8167x5610,"5107 Kayla Garden Apt. 829
Michelleville, NE 11501"
12,Michael Harris,bday@example.net,658.978.4121x457,"44679 Michael Dam Apt. 069
New Erica, IA 54081"
13,Sarah Harrison,mgarza@example.com,001-306-924-0410x29011,"852 Boyle Mountains
South Ralphchester, SC 67296"
14,Dr. Theresa Kane,sara24@example.net,001-739-823-6929x3914,"435 Katelyn Light
Crystalshire, MS 56088"
15,Michael Goodman,shanecook@example.com,(807)602-6662x2670,"795 Butler Springs Apt. 575
Owensland, WI 86281"
16,Angela Callahan,athompson@example.com,207-663-0053x5886,"572 English Spurs Apt. 252
Jeffreyburgh, IN 11062"
17,Michael Miller,caldwelljuan@example.net,629.815.5344,"65706 Dylan Haven
West Charles, SD 31504"
18,Laurie Turner,williamhardy@example.com,001-458-834-2593x7432,"969 Riley Flat Apt. 349
Timothybury, SC 66229"
19,Felicia Oconnor,monicajohnson@example.net,001-322-786-7686x850,"7950 Tracy Crest Apt. 879
Yatesmouth, AZ 54794"
20,Brandy Ford,bbrown@example.org,479-986-7264,"Unit 9428 Box 1043
DPO AP 51495"
21,Daniel Lane,murphykevin@example.org,+1-509-904-2296x474,"Unit 7905 Box 5239
DPO AP 32369"
22,Jeff Riddle,jessicalee@example.net,706-556-6897x405,"5265 Fitzpatrick Vista
North Heathershire, NM 69689"
23,Kimberly Herrera,benjaminlee@example.org,+1-512-443-6040x4693,"997 Hayden Roads Suite 590
Port Jayfort, NE 94643"
24,Brandon Johnston,lbrown@example.net,+1-696-509-8886,"054 Shaw Fort Apt. 393
North Tyler, SC 46722"
25,Andrew Hall,lisa91@example.org,001-646-515-2125,"59854 Chelsea Fields
West Brandi, NH 72774"
26,Tina Brown,burtonjoseph@example.net,617.808.4047,"Unit 7532 Box 8201
DPO AP 74595"
